기준일,브랜드,매장명,폐기유형,폐기사유,중분류명,품목코드,품목명,폐기수량,단가,폐기금액
2026-07-09,밀도,밀도 옥수점,폐기,유통기한초과(폐기),모닝롤,102683,모닝롤,6,3800,22800
2026-07-09,밀도,밀도 광장점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,2,3800,7600
2026-07-09,밀도,밀도 광장점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,4,3800,15200
2026-07-09,밀도,밀도 광장점,폐기,유통기한초과(폐기),샌드위치,103806,바질치폴레닭가슴살샌드위치,2,8900,17800
2026-07-09,밀도,밀도 광장점,폐기,유통기한초과(폐기),식빵,102338,통팥앙식빵,2,3900,7800
2026-07-09,밀도,밀도 광장점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,1,7500,7500
2026-07-09,밀도,밀도 광장점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,2,4200,8400
2026-07-09,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,1,3800,3800
2026-07-09,밀도,밀도 광교점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,1,4600,4600
2026-07-09,밀도,밀도 광교점,폐기,유통기한초과(폐기),파운드,102608,바나나파운드(23년),2,5600,11200
2026-07-09,밀도,밀도 광교점,폐기,유통기한초과(폐기),식빵,102684,튼튼고양식빵,3,6900,20700
2026-07-09,밀도,밀도 광교점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,2,7500,15000
2026-07-09,밀도,밀도 광교점,폐기,유통기한초과(폐기),스콘,101119,레몬스콘,1,3800,3800
2026-07-09,밀도,밀도 광교점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,2,4200,8400
2026-07-09,밀도,밀도 강남점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,2,4700,9400
2026-07-09,밀도,밀도 강남점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,1,4700,4700
2026-07-09,밀도,밀도 강남점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,2,7500,15000
2026-07-09,밀도,밀도 강남점,폐기,유통기한초과(폐기),스콘,101119,레몬스콘,1,3800,3800
2026-07-09,밀도,밀도 고양점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,2,6200,12400
2026-07-09,밀도,밀도 고양점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,2,5200,10400
2026-07-09,밀도,밀도 고양점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,1,5200,5200
2026-07-09,밀도,밀도 고양점,폐기,유통기한초과(폐기),페이스트리,103768,애플시나몬크림치즈데니쉬,3,4900,14700
2026-07-09,밀도,밀도 고양점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,1,4600,4600
2026-07-09,밀도,밀도 고양점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,2,7900,15800
2026-07-09,밀도,밀도 경기점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,1,4700,4700
2026-07-09,밀도,밀도 경기점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,1,7500,7500
2026-07-09,밀도,밀도 경기점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,1,7200,7200
2026-07-09,밀도,밀도 잠실점,폐기,유통기한초과(폐기),디저트,103569,상하초콜릿푸딩,1,5500,5500
2026-07-09,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,2,3800,7600
2026-07-09,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),간식빵,101957,초코허니러스크,1,5200,5200
2026-07-09,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,1,4200,4200
2026-07-09,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),식빵,100003,담백식빵,3,7800,23400
2026-07-09,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),식빵,102684,튼튼고양식빵,1,6900,6900
2026-07-09,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,2,7500,15000
2026-07-09,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,1,7200,7200
2026-07-09,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,1,7800,7800
2026-07-09,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,2,5500,11000
2026-07-09,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),스콘,101119,레몬스콘,2,3800,7600
2026-07-09,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,1,4200,4200
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,101957,초코허니러스크,1,5200,5200
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,102976,앙버터허니러스크,1,6200,6200
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,2,4200,8400
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,1,5200,5200
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,2,4600,9200
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),시그니처샌드,102272,땅콩크림샌드,4,5800,23200
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),샌드위치,103027,블루베리잼 잠봉뵈르,1,8900,8900
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),샌드위치,103028,그릴드닭가슴살 당근라페 샌드위치,5,8900,44500
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,7,7900,55300
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),식빵,102684,튼튼고양식빵,3,6900,20700
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,2,4800,9600
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),건강빵,102991,곡물가득로데브,9,8000,72000
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),건강빵,102993,프룻로데브,2,7800,15600
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,2,5500,11000
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),건강빵,103575,단호박고구마통밀(whole),1,5500,5500
2026-07-09,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),소금빵,102844,the부드러운소금빵,1,3600,3600
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,2,4700,9400
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,5,4700,23500
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,101957,초코허니러스크,2,5200,10400
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,5,6200,31000
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,102976,앙버터허니러스크,7,6200,43400
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,5,5200,26000
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,6,5200,31200
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),시그니처샌드,102272,땅콩크림샌드,6,5800,34800
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),샌드위치,103286,에그마요 소금빵,1,5200,5200
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),식빵,102684,튼튼고양식빵,4,6900,27600
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),식빵,102966,달밤식빵,3,8900,26700
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,2,7800,15600
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,3,6900,20700
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,8,4800,38400
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),건강빵,103571,올리브치즈치아바타,11,5200,57200
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,1,5500,5500
2026-07-09,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),스콘,101119,레몬스콘,1,3800,3800
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,1,3800,3800
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,1,3800,3800
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),페이스트리,103768,애플시나몬크림치즈데니쉬,1,4900,4900
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),디저트,103737,허쉬딥초코롤케이크(조각),2,6500,13000
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),시그니처샌드,102272,땅콩크림샌드,2,5800,11600
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103027,블루베리잼 잠봉뵈르,3,8900,26700
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,1,7500,7500
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,1,7200,7200
2026-07-10,밀도,밀도 정자점,폐기,유통기한초과(폐기),식빵,102335,호밀잡곡식빵,2,6500,13000
2026-07-10,밀도,밀도 정자점,폐기,유통기한초과(폐기),스콘,101119,레몬스콘,5,3800,19000
2026-07-10,밀도,밀도 한티점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,1,3800,3800
2026-07-10,밀도,밀도 한티점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,1,3800,3800
2026-07-10,밀도,밀도 한티점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,5,5200,26000
2026-07-10,밀도,밀도 한티점,폐기,유통기한초과(폐기),식빵,102338,통팥앙식빵,2,3900,7800
2026-07-10,밀도,밀도 한티점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,2,7200,14400
2026-07-10,밀도,밀도 한티점,폐기,유통기한초과(폐기),모닝롤,103773,모닝롤(6ea),2,5200,10400
2026-07-10,밀도,밀도 옥수점,폐기,유통기한초과(폐기),식빵,102966,달밤식빵,2,8900,17800
2026-07-10,밀도,밀도 옥수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,1,6900,6900
2026-07-10,밀도,밀도 옥수점,폐기,유통기한초과(폐기),모닝롤,102683,모닝롤,6,3800,22800
2026-07-10,밀도,밀도 광장점,폐기,유통기한초과(폐기),식빵,102335,호밀잡곡식빵,5,6500,32500
2026-07-10,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,1,5200,5200
2026-07-10,밀도,밀도 알토점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,2,4800,9600
2026-07-10,밀도,밀도 광교점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,2,5200,10400
2026-07-10,밀도,밀도 광교점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,4,4600,18400
2026-07-10,밀도,밀도 광교점,폐기,유통기한초과(폐기),파운드,102608,바나나파운드(23년),3,5600,16800
2026-07-10,밀도,밀도 광교점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-07-10,밀도,밀도 광교점,폐기,유통기한초과(폐기),식빵,102335,호밀잡곡식빵,3,6500,19500
2026-07-10,밀도,밀도 광교점,폐기,유통기한초과(폐기),식빵,102684,튼튼고양식빵,4,6900,27600
2026-07-10,밀도,밀도 광교점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,5,7500,37500
2026-07-10,밀도,밀도 광교점,폐기,유통기한초과(폐기),모닝롤,102683,모닝롤,4,3800,15200
2026-07-10,밀도,밀도 광교점,폐기,유통기한초과(폐기),스콘,101119,레몬스콘,3,3800,11400
2026-07-10,밀도,밀도 광교점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,3,4200,12600
2026-07-10,밀도,밀도 광교점,폐기,유통기한초과(폐기),소금빵,102844,the부드러운소금빵,4,3600,14400
2026-07-10,밀도,밀도 강남점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,3,4700,14100
2026-07-10,밀도,밀도 강남점,폐기,유통기한초과(폐기),간식빵,101957,초코허니러스크,1,5200,5200
2026-07-10,밀도,밀도 강남점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,3,6200,18600
2026-07-10,밀도,밀도 강남점,폐기,유통기한초과(폐기),식빵,102684,튼튼고양식빵,1,6900,6900
2026-07-10,밀도,밀도 강남점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,2,7500,15000
2026-07-10,밀도,밀도 강남점,폐기,유통기한초과(폐기),미니식빵,103827,촉촉연유브래드,6,6900,41400
2026-07-10,밀도,밀도 고양점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,3,5200,15600
2026-07-10,밀도,밀도 고양점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,3,4600,13800
2026-07-10,밀도,밀도 고양점,폐기,유통기한초과(폐기),샌드위치,103805,아이올리베이컨토마토샌드위치,1,8900,8900
2026-07-10,밀도,밀도 고양점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,2,7200,14400
2026-07-10,밀도,밀도 고양점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,3,4200,12600
2026-07-10,밀도,밀도 경기점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,2,4700,9400
2026-07-10,밀도,밀도 잠실점,폐기,유통기한초과(폐기),간식빵,102975,석촌호수맘모스,5,6200,31000
2026-07-10,밀도,밀도 잠실점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,1,4200,4200
2026-07-10,밀도,밀도 잠실점,폐기,유통기한초과(폐기),샌드위치,103805,아이올리베이컨토마토샌드위치,1,8900,8900
2026-07-10,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),식빵,100003,담백식빵,2,7800,15600
2026-07-10,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,1,3800,3800
2026-07-10,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,2,3800,7600
2026-07-10,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,1,4700,4700
2026-07-10,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,1,3800,3800
2026-07-10,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,6,6200,37200
2026-07-10,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,3,4200,12600
2026-07-10,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,5,5200,26000
2026-07-10,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),디저트,102978,상하카라멜푸딩,2,5200,10400
2026-07-10,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),샌드위치,103028,그릴드닭가슴살 당근라페 샌드위치,3,8900,26700
2026-07-10,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),샌드위치,103286,에그마요 소금빵,3,5200,15600
2026-07-10,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),샌드위치,103805,아이올리베이컨토마토샌드위치,1,8900,8900
2026-07-10,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,3,7500,22500
2026-07-10,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),건강빵,102991,곡물가득로데브,3,8000,24000
